System ID,Book Title,Author,Category,Subject,Price,MRP,Stock,ISBN No,Description,Published Year,Binding,Pages,Weight,is_bestseller,is_trending,is_new_arrival,is_featured
96FyW7fHhShYcNvVhPwK,Qanoon Asri Vol.1,Masihul Mulk Hkm. Ajmal Khan,Reference Books,Undefined,0,0,10,TEMP-9790000002197,,,,,,,,,
6EOEhedDGCN3gnCXGXov,Qarabadeen Ahsaani,Hkm. Ahsan Ali,Reference Books,Undefined,0,0,10,TEMP-9790000002203,,,,,,,,,
JwIqZndgPdosFjqCPhHs,Qarabadeen Bangala,Hkm. Yunus Habibi,Reference Books,Undefined,0,0,10,TEMP-9790000002210,,,,,,,,,
jGcOwp3V2jgJVYC29Wkt,Qarabadeen Jadeed,Hkm. Abdul Hafiz,Reference Books,Undefined,0,0,10,TEMP-9790000002227,,,,,,,,,
uAd1qzthdMS0a8eEF0CG,Qarabadeen Kabir,Hkm. Hadi Hasan Khan,Reference Books,Undefined,3200,4000,10,TEMP-9790000002234,,,,,,,,,
1SY7KseG4qSHWK0H6pLz,Qarabadeen Sarkari,Govt. of India,Reference Books,Undefined,0,0,10,TEMP-9790000002241,,,,,,,,,
4er0jXnWMy89RzGV1H33,Qarabadeen-e-Azam,Hkm. Md. Azam Khan,Masters or P.G.,Undefined,640,800,10,TEMP-9790000002258,,,,,,,,,
hemH1Et3Idq8ybiMfdhL,Qarabadeen-e-Najmul Gani,Hkm. Najmul Gani,Masters or P.G.,Undefined,1600,2000,10,9789390000000,,,,,,,,,
vhLMkLMyg7CR6wdd4LO3,Qarabadeen-E-Qadri,Hkm. Akbar Arzani,Masters or P.G.,Undefined,320,400,10,TEMP-9790000002265,,,,,,,,,
JE4o4DWBdQNUZms4gXV3,Qarabadeene Jalali,Hkm. Jalaluddin Amrohvi,Reference Books,Undefined,0,0,10,TEMP-9790000002272,,,,,,,,,
lfOJj5cL5NlIFC1JTMXP,Qarabdeen-e-Majeedi,Hamdard,2nd (Second) Prof.,Drugs Formulation (Murakkabat),240,300,10,TEMP-9790000002289,,,,,,,,,
2G8nKEjqAqVnmfKWP5M7,Qawaneen-e-Advia (Kulliyate Advia),Hkm. Ayub Ali Qasmi,2nd (Second) Prof.,Unani Pharmacology (Kulliyat-e-Advia),120,150,10,TEMP-9790000002296,,,,,,,,,
aaBKl04e3kEA1x54OoeY,Rafeeq Matab,Hkm. Arshad Shaheen,Masters or P.G.,Undefined,0,0,10,TEMP-9790000002302,,,,,,,,,
1o17G306mDPqzrkqcq8Q,Ramooze Atibba Vol.1-2,Hkm. Firozuddin,Masters or P.G.,Undefined,1600,2000,10,TEMP-9790000002319,,,,,,,,,
